Description,Value
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.267875
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.284094
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.317906
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.275625
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.278750
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.277750
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.292781
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.290187
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.265531
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.316531
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.275656
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.274594
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.280625
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.298531
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.293531
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.354719
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.304000
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.286375
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.259406
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.287062
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.330594
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.283813
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.298687
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.312781
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",11.474563
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.317219
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.272656
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",2.709375
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.254062
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.289344
"getGroupStatus completed.",0.849938
"getGroupStatus completed.",0.820687
"getGroupStatus completed.",0.900344
"getGroupStatus completed.",1.019406
"getGroupStatus completed.",0.880875
"getGroupStatus completed.",0.823000
"getGroupStatus completed.",0.768750
"getGroupStatus completed.",0.816875
"getGroupStatus completed.",0.959750
"getGroupStatus completed.",0.816156
"getGroupStatus completed.",0.832250
"getGroupStatus completed.",0.865750
"getGroupStatus completed.",12.051219
"getGroupStatus completed.",1.017375
"getGroupStatus completed.",0.795656
"getGroupStatus completed.",3.324844
"getGroupStatus completed.",0.790469
"getGroupStatus completed.",0.888500
"Merge request completed.",5.251857
"Merge request completed.",3.752417
"Merge request completed.",4.776000
"Merge request completed.",21.379800
"Merge request completed.",33.272188
"Merge request completed.",4.298000
"Merge request completed.",3.943500
"Merge request completed.",4.679250
"Merge request completed.",11.854375
"Merge request completed.",4.830667
"Merge request completed.",4.492941
"Merge request completed.",4.982824
"Merge request completed.",4.032000
"Merge request completed.",5.585700
"[getClientID] MySQL connection established.",0.292656
"[getClientID] MySQL connection established.",0.212312
"[getClientID] MySQL connection established.",0.250625
"[getClientID] MySQL connection established.",0.231250
"[getClientID] MySQL connection established.",0.549781
"[getClientID] MySQL connection established.",0.331625
"[getClientID] MySQL connection established.",0.246563
"[getClientID] MySQL connection established.",0.311594
"[getClientID] MySQL connection established.",0.420531
"[getClientID] MySQL connection established.",0.196250
"[getClientID] MySQL connection established.",0.446906
"[getClientID] MySQL connection established.",0.269625
"[getClientID] MySQL connection established.",0.340031
"[getClientID] MySQL connection established.",0.314063
"[getClientID] MySQL connection established.",0.212906
"[getClientID] MySQL connection established.",0.561531
"[getClientID] MySQL connection established.",0.344250
